Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1
World Economic Outlook,Annual percent change,W176PCPI%,ICELAND,Inflation,13.12,6.38,10.40,22.16,43.03,48.96,32.17,30.45,44.07,45.78,58.55,50.87,51.02,84.28,29.17,32.38,21.27,18.77,25.46,21.08,14.84,6.80,3.76,4.11,1.49,1.65,2.25,1.81,1.66,3.50,3.20
World Economic Outlook,Annual percent change,W534PCPI%,INDIA,Inflation,5.08,3.23,5.21,17.82,27.73,5.59,-7.79,8.44,2.55,6.28,11.48,12.50,8.41,11.87,8.32,5.56,8.73,8.80,9.38,6.16,8.97,13.87,11.79,6.36,10.21,10.22,8.98,7.16,13.00,7.46,7.91
World Economic Outlook,Annual percent change,W536PCPI%,INDONESIA,Inflation,12.29,4.44,6.37,31.05,40.60,19.07,19.84,11.10,8.13,21.97,18.48,12.20,9.54,11.80,10.41,4.75,5.85,9.27,8.11,6.40,7.84,9.38,7.52,9.67,8.53,9.43,7.94,6.60,60.69,28.20,9.96
World Economic Outlook,Annual percent change,W429PCPI%,IRAN,Inflation,1.62,4.20,6.53,9.78,14.25,14.95,11.39,27.08,11.77,10.53,20.63,24.20,18.68,19.74,12.58,4.38,23.72,27.71,28.90,17.40,8.99,20.71,24.39,22.85,35.16,49.40,23.10,17.30,22.00,15.00,10.00
World Economic Outlook,Annual percent change,W178PCPI%,IRELAND,Inflation,8.24,8.96,8.61,11.41,16.98,20.88,17.98,13.64,7.52,13.28,18.35,20.24,17.19,10.40,8.64,5.47,3.79,3.15,2.13,4.09,3.33,3.19,3.12,1.44,2.38,2.46,1.57,1.50,2.40,2.00,2.00
World Economic Outlook,Annual percent change,W436PCPI%,ISRAEL,Inflation,6.10,11.97,12.88,19.98,39.71,39.32,31.41,34.60,50.93,78.19,130.95,116.80,120.39,145.60,373.83,304.61,48.18,19.90,16.26,20.23,17.18,19.04,11.89,10.89,12.30,10.00,11.30,9.00,5.50,8.29,3.04
World Economic Outlook,Annual percent change,W136PCPI%,ITALY,Inflation,4.99,4.93,5.72,10.83,19.10,17.05,16.68,18.49,12.04,14.78,21.28,19.49,16.46,14.64,10.88,9.05,5.88,4.75,5.06,6.26,6.46,6.28,5.27,4.63,4.05,5.24,3.92,1.74,1.75,1.33,1.50
World Economic Outlook,Annual percent change,W343PCPI%,JAMAICA,Inflation,7.73,5.34,5.43,17.68,27.16,17.38,9.79,11.19,34.94,28.71,17.98,9.17,6.83,16.66,31.25,29.70,24.40,11.20,8.20,16.10,24.80,68.60,57.50,24.31,33.20,21.70,21.50,8.80,7.30,n.a.,n.a.
World Economic Outlook,Annual percent change,W158PCPI%,JAPAN,Inflation,7.61,6.39,4.81,11.70,23.15,11.74,9.37,8.18,4.17,3.73,7.82,4.90,2.75,1.87,2.26,2.04,0.61,0.12,0.67,2.26,3.09,3.25,1.74,1.20,0.74,-0.07,0.12,1.71,0.63,-0.20,-0.18
World Economic Outlook,Annual percent change,W439PCPI%,JORDAN,Inflation,5.90,4.82,7.66,11.13,19.43,11.98,11.50,14.57,6.92,14.34,10.99,7.66,7.50,5.11,3.80,2.90,0.00,0.00,6.66,25.70,16.10,8.21,3.95,3.30,3.48,2.43,6.48,3.00,5.00,3.49,2.99
World Economic Outlook,Annual percent change,W916PCPI%,KAZAKHSTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.60,91.00,1515.71,1662.27,1879.90,176.30,39.10,17.44,7.30,2.60,5.00
World Economic Outlook,Annual percent change,W664PCPI%,KENYA,Inflation,2.07,3.71,6.08,9.35,17.72,19.19,11.49,15.01,17.06,8.08,13.87,7.89,13.82,11.60,20.67,11.40,10.28,13.01,4.80,7.62,11.20,19.60,27.30,45.91,28.84,1.51,9.04,11.19,6.60,6.00,5.00
World Economic Outlook,Annual percent change,W826PCPI%,KIRIBATI,Inflation,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,16.10,7.70,5.49,6.31,5.44,4.49,6.61,6.50,3.11,5.32,3.80,5.71,3.98,6.11,5.22,3.62,-0.58,4.01,2.97,n.a.,n.a.
World Economic Outlook,Annual percent change,W542PCPI%,KOREA,Inflation,16.08,13.58,11.63,3.23,24.28,25.24,15.28,10.20,14.37,18.45,28.73,21.41,7.06,3.42,2.29,2.43,2.76,3.07,7.14,5.68,8.56,9.34,6.23,4.79,6.28,4.47,4.92,4.44,7.49,1.80,2.00
World Economic Outlook,Annual percent change,W443PCPI%,KUWAIT,Inflation,8.27,8.27,8.27,9.16,14.58,6.04,4.36,8.36,7.18,7.10,6.91,7.34,8.14,4.29,1.30,1.43,0.98,0.70,1.46,3.35,9.84,9.06,-0.55,0.38,2.49,2.72,3.60,0.70,0.50,0.90,1.70
World Economic Outlook,Annual percent change,W917PCPI%,KYRGYZ REPUBLIC,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.20,85.00,854.60,772.40,228.70,52.50,30.40,25.50,12.00,9.50,6.40
World Economic Outlook,Annual percent change,W544PCPI%,LAO PEOPLE'S DEM.REP,Inflation,0.32,1.29,25.16,30.79,50.00,29.70,10.90,89.99,10.01,2.70,188.82,33.70,70.38,62.51,27.17,114.70,35.00,6.11,14.80,59.70,35.70,13.40,9.80,6.30,6.76,19.40,13.00,19.30,81.02,n.a.,n.a.
World Economic Outlook,Annual percent change,W941PCPI%,LATVIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10.51,124.40,951.31,109.10,35.80,25.10,17.60,8.40,4.70,3.00,3.00
World Economic Outlook,Annual percent change,W446PCPI%,LEBANON,Inflation,0.00,1.56,4.92,6.00,12.29,20.05,28.83,19.00,10.10,23.70,23.90,19.30,18.60,7.20,17.60,69.40,95.40,487.20,155.00,72.20,88.91,50.10,99.84,24.68,7.97,10.60,8.90,8.48,8.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W666PCPI%,LESOTHO,Inflation,13.40,13.40,13.40,13.40,13.40,14.21,11.40,16.70,12.42,19.92,13.15,12.49,19.23,9.89,12.33,19.10,12.97,8.82,19.39,14.90,11.47,17.85,17.03,13.84,7.23,9.94,9.07,8.50,7.29,n.a.,n.a.
World Economic Outlook,Annual percent change,W668PCPI%,LIBERIA,Inflation,1.52,-0.71,3.89,19.54,19.03,14.00,5.63,6.21,7.28,11.61,14.59,7.67,5.91,2.79,1.21,-0.60,3.60,5.02,9.65,25.31,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
